1	42	42
2	553	595
3	420	1015
4	179	1194
5	205	1399
6	228	1627
7	235	1862
8	903	2765
9	199	2964
10	786	3750
11	27	3777
12	27	3804
13	61	3865
14	10	3875
15	80	3955
16	589	4544
17	51	4595
18	271	4866
19	1481	6347
20	280	6627
21	843	7470
22	1189	8659
23	1111	9770
24	437	10207
25	497	10704
26	36	10740
27	49	10789
28	12	10801
29	60	10861
30	128	10989
31	136	11125
32	106	11231
33	55	11286
34	219	11505
35	120	11625
36	432	12057
37	673	12730
38	1015	13745
39	781	14526
40	231	14757
41	113	14870
42	537	15407
43	100	15507
44	1508	17015
45	442	17457
46	422	17879
47	577	18456
48	583	19039
49	43	19082
50	572	19654
51	562	20216
52	148	20364
53	658	21022
54	553	21575
55	982	22557
56	1018	23575
57	525	24100
58	190	24290
59	1506	25796
60	835	26631
61	839	27470
62	1995	29465
63	296	29761
64	509	30270
65	110	30380
66	556	30936
67	1205	32141
68	426	32567
69	2155	34722
70	362	35084
71	348	35432
72	28	35460
73	270	35730
74	629	36359
75	262	36621
76	158	36779
77	190	36969
78	87	37056
79	998	38054
80	918	38972
81	128	39100
82	295	39395
83	204	39599
84	498	40097
85	535	40632
86	98	40730
87	82	40812
88	548	41360
89	82	41442
90	1242	42684
91	17	42701
92	465	43166
93	35	43201
94	556	43757
95	620	44377
96	233	44610
97	109	44719
98	567	45286
99	476	45762
100	1220	46982
101	727	47709
102	126	47835
103	770	48605
104	55	48660
105	340	49000
106	1939	50939
107	465	51404
108	35	51439
109	401	51840
110	325	52165
111	405	52570
112	1234	53804
113	642	54446
